problem_id,contest_id,problem_index,problem_name,difficulty_rating,tags,solved_count,codeforces_url,total_samples,models,languages
1594/B,1594,B,Special Numbers,1100.0,bitmasks|math,21781,https://codeforces.com/problemset/problem/1594/B,48,codellama|gpt|human|llama3.1,cpp|java|python
1762/B,1762,B,Make Array Good,1100.0,constructive algorithms|implementation|number theory|sortings,18463,https://codeforces.com/problemset/problem/1762/B,48,codellama|gpt|human|llama3.1,cpp|java|python
1633/C,1633,C,Kill the Monster,1100.0,brute force|math,21083,https://codeforces.com/problemset/problem/1633/C,48,codellama|gpt|human|llama3.1,cpp|java|python
1328/C,1328,C,Ternary XOR,1200.0,greedy|implementation,32800,https://codeforces.com/problemset/problem/1328/C,49,codellama|gpt|human|llama3.1,cpp|java|python
1343/C,1343,C,Alternating Subsequence,1200.0,dp|greedy|two pointers,43119,https://codeforces.com/problemset/problem/1343/C,48,codellama|gpt|human|llama3.1,cpp|java|python
1491/B,1491,B,Minimal Cost,1200.0,brute force|math,14188,https://codeforces.com/problemset/problem/1491/B,60,codellama|gpt|human|llama3.1,cpp|java|python
1676/F,1676,F,Longest Strike,1300.0,data structures|greedy|implementation|sortings|two pointers,19705,https://codeforces.com/problemset/problem/1676/F,47,codellama|gpt|human|llama3.1,cpp|java|python
1505/C,1505,C,Fibonacci Words,1400.0,*special|implementation,6671,https://codeforces.com/problemset/problem/1505/C,49,codellama|gpt|human|llama3.1,cpp|java|python
1605/C,1605,C,Dominant Character,1400.0,brute force|greedy|implementation|strings,18503,https://codeforces.com/problemset/problem/1605/C,47,codellama|gpt|human|llama3.1,cpp|java|python
1551/B2,1551,B2,Wonderful Coloring - 2,1400.0,binary search|constructive algorithms|data structures|greedy,16462,https://codeforces.com/problemset/problem/1551/B2,49,codellama|gpt|human|llama3.1,cpp|java|python
1760/F,1760,F,Quests,1500.0,binary search|greedy|sortings,14447,https://codeforces.com/problemset/problem/1760/F,50,codellama|gpt|human|llama3.1,cpp|java|python
1399/D,1399,D,Binary String To Subsequences,1500.0,constructive algorithms|data structures|greedy|implementation,19732,https://codeforces.com/problemset/problem/1399/D,47,codellama|gpt|human|llama3.1,cpp|java|python
1323/B,1323,B,Count Subrectangles,1500.0,binary search|greedy|implementation,11298,https://codeforces.com/problemset/problem/1323/B,48,codellama|gpt|human|llama3.1,cpp|java|python
1303/C,1303,C,Perfect Keyboard,1600.0,dfs and similar|greedy|implementation,12791,https://codeforces.com/problemset/problem/1303/C,49,codellama|gpt|human|llama3.1,cpp|java|python
1398/C,1398,C,Good Subarrays,1600.0,data structures|dp|math,34835,https://codeforces.com/problemset/problem/1398/C,56,codellama|gpt|human|llama3.1,cpp|java|python
1503/A,1503,A,Balance the Bits,1600.0,constructive algorithms|greedy,14434,https://codeforces.com/problemset/problem/1503/A,47,codellama|gpt|human|llama3.1,cpp|java|python
1352/G,1352,G,Special Permutation,1600.0,constructive algorithms,24362,https://codeforces.com/problemset/problem/1352/G,48,codellama|gpt|human|llama3.1,cpp|java|python
1360/F,1360,F,Spy-string,1700.0,bitmasks|brute force|constructive algorithms|dp|hashing|strings,13414,https://codeforces.com/problemset/problem/1360/F,48,codellama|gpt|human|llama3.1,cpp|java|python
1335/E1,1335,E1,Three Blocks Palindrome (easy version),1700.0,binary search|brute force|data structures|dp|two pointers,11636,https://codeforces.com/problemset/problem/1335/E1,45,codellama|gpt|human|llama3.1,cpp|java|python
1365/D,1365,D,Solve The Maze,1700.0,constructive algorithms|dfs and similar|dsu|graphs|greedy|implementation|shortest paths,20292,https://codeforces.com/problemset/problem/1365/D,51,codellama|gpt|human|llama3.1,cpp|java|python
1695/C,1695,C,Zero Path,1700.0,brute force|data structures|dp|graphs|greedy|shortest paths,13670,https://codeforces.com/problemset/problem/1695/C,48,codellama|gpt|human|llama3.1,cpp|java|python
1721/D,1721,D,Maximum AND,1800.0,bitmasks|dfs and similar|divide and conquer|greedy|sortings,7583,https://codeforces.com/problemset/problem/1721/D,48,codellama|gpt|human|llama3.1,cpp|java|python
1505/E,1505,E,Cakewalk,1800.0,*special|greedy|implementation|shortest paths,1896,https://codeforces.com/problemset/problem/1505/E,49,codellama|gpt|human|llama3.1,cpp|java|python
1381/B,1381,B,Unmerge,1800.0,dp,9471,https://codeforces.com/problemset/problem/1381/B,61,codellama|gpt|human|llama3.1,cpp|java|python
1750/D,1750,D,Count GCD,1800.0,combinatorics|math|number theory,7180,https://codeforces.com/problemset/problem/1750/D,52,codellama|gpt|human|llama3.1,cpp|java|python
1355/C,1355,C,Count Triangles,1800.0,binary search|implementation|math|two pointers,11732,https://codeforces.com/problemset/problem/1355/C,54,codellama|gpt|human|llama3.1,cpp|java|python
1601/B,1601,B,Frog Traveler,1900.0,data structures|dfs and similar|dp|graphs|shortest paths|two pointers,5441,https://codeforces.com/problemset/problem/1601/B,48,codellama|gpt|human|llama3.1,cpp|java|python
1141/F1,1141,F1,Same Sum Blocks (Easy),1900.0,greedy,4127,https://codeforces.com/problemset/problem/1141/F1,37,codellama|gpt|human|llama3.1,cpp|java|python
1493/C,1493,C,K-beautiful Strings,2000.0,binary search|brute force|constructive algorithms|greedy|strings,4904,https://codeforces.com/problemset/problem/1493/C,50,codellama|gpt|human|llama3.1,cpp|java|python
1729/G,1729,G,Cut Substrings,2100.0,combinatorics|dp|hashing|strings|two pointers,2453,https://codeforces.com/problemset/problem/1729/G,48,codellama|gpt|human|llama3.1,cpp|java|python
1433/F,1433,F,Zero Remainder Sum ,2100.0,dp,6632,https://codeforces.com/problemset/problem/1433/F,48,codellama|gpt|human|llama3.1,cpp|java|python
1767/C,1767,C,Count Binary Strings,2100.0,data structures|dp,2976,https://codeforces.com/problemset/problem/1767/C,52,codellama|gpt|human|llama3.1,cpp|java|python
1721/E,1721,E,Prefix Function Queries,2200.0,dfs and similar|dp|hashing|string suffix structures|strings|trees,2488,https://codeforces.com/problemset/problem/1721/E,39,codellama|gpt|human|llama3.1,cpp|java|python
1704/E,1704,E,Count Seconds,2200.0,brute force|constructive algorithms|dp|graphs|implementation|math,2645,https://codeforces.com/problemset/problem/1704/E,48,codellama|gpt|human|llama3.1,cpp|java|python
1338/C,1338,C,Perfect Triples,2200.0,bitmasks|brute force|constructive algorithms|divide and conquer|math,3410,https://codeforces.com/problemset/problem/1338/C,45,codellama|gpt|human|llama3.1,cpp|java|python
1374/F,1374,F,Cyclic Shifts Sorting,2400.0,brute force|constructive algorithms|implementation|sortings,1385,https://codeforces.com/problemset/problem/1374/F,43,codellama|gpt|human|llama3.1,cpp|java|python
1473/F,1473,F,Strange Set,2700.0,flows|math,1106,https://codeforces.com/problemset/problem/1473/F,23,codellama|gpt|human|llama3.1,cpp|java|python
1572/C,1572,C,Paint,2700.0,dp|greedy,1660,https://codeforces.com/problemset/problem/1572/C,22,codellama|gpt|human|llama3.1,cpp|java|python
1531/A,1531,A,Зингер | color,,*special|implementation,1473,https://codeforces.com/problemset/problem/1531/A,43,codellama|gpt|human|llama3.1,cpp|java|python
1663/A,1663,A,Who Tested?,,*special|expression parsing|trees,10823,https://codeforces.com/problemset/problem/1663/A,48,codellama|gpt|human|llama3.1,cpp|java|python
